Standardized Precipitation Index - SPI: Campinas in the period from 01/01/1947 to 05/01/2011;;;;;;
Period;1 month;3 months;6 months;9 months;12 months;24 months
July;-1.04;0.43;-0.49;0.01;-0.15;-0.58
August;-0.38;0.86;0.01;-0.07;-0.14;-0.72
September;-0.38;-0.98;-0.35;-0.33;-0.13;-0.82
October;0.63;-0.03;0.13;-0.49;-0.05;-0.90
November;-0.60;-0.26;0.16;-0.22;-0.19;-1.01
December;0.82;0.54;0.04;0.12;-0.03;-0.51
year 1975;;;;;;
January;-0.29;0.09;-0.02;0.08;-0.34;-0.41
February;0.60;0.50;0.27;0.45;0.16;-0.11
March;-2.74;-0.52;-0.12;-0.44;-0.34;-0.27
April;-0.36;-0.66;-0.32;-0.41;-0.30;-0.36
May;-0.60;-2.24;-0.27;-0.46;-0.24;-0.38
June;-1.11;-1.35;-0.89;-0.47;-0.75;-0.47
July;0.72;-0.78;-0.91;-0.52;-0.61;-0.51
August;-1.00;-1.01;-2.14;-0.46;-0.66;-0.53
September;-1.14;-0.83;-1.61;-1.18;-0.68;-0.57
October;1.16;0.09;-0.46;-0.76;-0.49;-0.41
November;1.07;0.87;0.34;-0.72;-0.11;-0.27
December;0.23;1.10;0.54;0.00;-0.31;-0.32
Year 1976;;;;;;
January;-0.51;0.23;0.17;-0.14;-0.43;-0.57
February;1.14;0.39;0.76;0.45;-0.27;-0.10
March;-0.06;0.27;0.79;0.51;0.11;-0.17
April;0.52;0.75;0.54;0.50;0.24;-0.06
May;1.39;0.76;0.58;0.87;0.61;0.23
June;0.92;1.33;0.72;1.09;0.85;0.10
July;1.17;1.61;1.28;0.96;0.93;0.23
August;1.98;1.97;1.45;1.01;1.30;0.47
September;1.19;1.83;2.02;1.30;1.54;0.65
October;-0.93;1.01;1.68;1.46;1.13;0.47
November;-2.12;-0.86;0.54;0.75;0.63;0.34
December;1.87;0.58;1.38;1.65;1.17;0.65
Year 1977;;;;;;
January;0.51;1.00;1.33;1.71;1.56;0.82
February;-1.53;0.83;0.36;0.95;1.07;0.52
March;0.22;-0.28;0.08;0.78;1.15;0.78
April;2.14;0.27;0.79;1.10;1.46;1.10
May;1.00;1.49;1.24;0.93;1.33;1.24
June;-1.09;1.41;0.36;0.54;1.11;1.24
July;-0.41;0.01;0.15;0.67;0.96;1.18
August;-0.15;-1.41;0.79;0.93;0.63;1.21
September;0.74;0.18;1.05;0.33;0.50;1.33
October;-0.59;-0.14;-0.22;0.00;0.52;1.11
November;-1.45;-0.81;-1.29;0.16;0.57;0.81
December;-0.21;-1.26;-0.90;-0.03;-0.20;0.71
year 1978;;;;;;
January;-2.24;-1.95;-1.82;-1.61;-1.00;0.50
February;-0.61;-1.43;-1.90;-2.10;-0.91;0.16
March;-0.34;-1.57;-1.98;-1.88;-1.09;0.12
April;-1.30;-1.02;-1.90;-1.98;-1.84;-0.01
May;0.41;-0.62;-1.39;-1.81;-1.97;-0.17
June;0.49;-0.19;-1.33;-1.79;-1.72;-0.23
July;1.48;0.94;-0.30;-1.31;-1.43;-0.19
August;-1.00;0.63;-0.18;-1.08;-1.50;-0.47
September;-0.29;0.16;-0.14;-1.26;-1.65;-0.67
October;-1.01;-1.43;-0.29;-0.88;-1.64;-0.67
November;0.91;-0.18;0.09;-0.32;-1.03;-0.30
December;0.11;-0.01;0.01;-0.13;-0.88;-0.87
Year 1979;;;;;;
January;-1.43;-0.29;-0.97;-0.46;-0.83;-1.29
February;0.71;-0.22;-0.41;-0.22;-0.48;-0.91
March;-0.13;-0.35;-0.32;-0.33;-0.43;-0.97
April;0.75;0.50;0.06;-0.44;-0.14;-1.23
May;1.13;0.64;0.08;-0.08;0.04;-1.18
June;-1.15;0.59;-0.08;-0.12;-0.14;-1.17
July;0.62;0.48;0.53;0.15;-0.31;-1.11
August;1.23;0.34;0.57;0.11;-0.03;-0.96
September;0.58;0.93;0.91;0.20;0.13;-0.95
October;0.43;0.86;0.83;0.77;0.36;-0.80
November;-0.02;0.33;0.35;0.55;0.17;-0.62
December;0.11;0.09;0.49;0.59;0.16;-0.57
year 1980;;;;;;
January;-0.17;-0.14;0.27;0.35;0.45;-0.26
February;-0.45;-0.29;-0.18;-0.11;0.12;-0.25
March;-0.58;-0.59;-0.44;-0.13;0.02;-0.28
April;1.36;-0.11;-0.20;0.09;0.17;-0.01
May;-0.91;-0.11;-0.31;-0.24;-0.18;-0.12
June;0.87;0.72;-0.19;-0.16;0.08;-0.07
July;-0.73;-0.30;-0.28;-0.30;-0.04;-0.25
August;0.29;0.30;0.00;-0.25;-0.19;-0.17
September;-0.13;-0.37;0.22;-0.38;-0.30;-0.15
October;-1.02;-0.81;-0.91;-0.64;-0.55;-0.15
November;-0.92;-1.38;-0.95;-0.80;-0.67;-0.39
December;0.81;-0.26;-0.41;-0.07;-0.39;-0.23
year 1981;;;;;;
January;-0.15;0.07;-0.39;-0.50;-0.45;-0.03
February;-1.53;-0.20;-0.95;-0.80;-0.79;-0.44
March;0.00;-0.75;-0.77;-0.94;-0.65;-0.41
April;-0.19;-1.05;-0.52;-0.89;-0.95;-0.50
May;-1.24;-0.67;-0.46;-1.08;-0.94;-0.74
June;0.75;-0.36;-0.78;-0.82;-0.97;-0.58
July;-0.69;-0.50;-1.11;-0.64;-0.99;-0.66
August;-0.52;-0.17;-0.63;-0.49;-1.08;-0.82
September;-1.28;-1.65;-1.22;-1.22;-1.13;-0.96
October;1.31;0.30;-0.15;-0.80;-0.52;-0.79
November;0.59;0.67;0.42;-0.09;-0.21;-0.67
December;-0.21;0.67;0.02;-0.18;-0.55;-0.77
year 1982;;;;;;
January;1.15;0.66;0.66;0.37;-0.18;-0.48
February;-0.46;0.22;0.49;0.35;0.02;-0.51
March;0.64;0.58;0.78;0.39;0.21;-0.29
April;1.05;0.35;0.59;0.62;0.41;-0.33
May;0.65;0.97;0.55;0.76;0.63;-0.17
June;2.09;1.83;1.18;1.29;0.96;0.05
July;0.43;1.65;1.03;1.01;1.06;0.11
August;0.20;1.69;1.44;0.90;1.11;0.11
September;-1.40;-0.57;1.09;0.94;1.05;0.03
October;1.26;0.42;1.32;0.98;0.99;0.35
November;-0.43;0.09;0.93;1.15;0.78;0.39
December;0.91;1.03;0.54;1.25;1.07;0.40
year 1983;;;;;;
January;0.48;0.60;0.66;1.19;0.99;0.54
February;0.44;0.79;0.73;1.15;1.33;0.86
March;1.06;0.78;1.13;0.90;1.46;1.05
April;1.86;1.37;1.15;1.23;1.59;1.29
May;2.44;2.60;1.79;1.82;2.02;1.74
June;2.11;3.19;2.03;2.21;2.02;1.93
July;0.56;2.81;2.41;1.97;2.08;2.00
August;-0.96;1.49;2.54;1.91;1.99;1.97
September;2.26;1.58;3.16;2.38;2.44;2.31
October;0.47;1.52;2.90;2.63;2.19;2.20
November;-0.23;1.45;1.78;2.74;2.11;2.07
December;0.75;0.54;1.19;2.52;2.00;2.25
year 1984;;;;;;
January;-0.23;0.19;0.96;2.07;2.11;2.08
February;-1.88;-0.37;0.46;0.84;1.91;2.04
March;-0.28;-1.04;-0.46;0.18;1.60;1.89
April;0.61;-1.05;-0.44;0.21;1.28;1.81
May;1.23;0.56;-0.06;0.55;0.85;1.86
June;-1.25;0.57;-0.59;-0.24;0.29;1.54
July;-0.65;0.16;-0.79;-0.39;0.19;1.50
August;1.91;0.46;0.56;0.02;0.58;1.66
September;1.21;1.40;1.24;-0.01;0.20;1.82
October;-1.77;0.75;0.57;-0.30;-0.13;1.52
November;-0.25;-0.29;-0.08;0.21;-0.13;1.51
December;0.43;-0.56;0.36;0.48;-0.23;1.41
year 1985;;;;;;
January;-1.11;-0.45;-0.04;-0.04;-0.51;1.21
February;-0.57;-0.53;-0.77;-0.59;-0.30;1.09
March;0.85;-0.41;-0.68;-0.11;0.03;1.04
